wave_type,mean,max,min,sign,disorder
Delta,15.256914493433396,304.0,-61.3,positive,neutral
Theta,27.012461538461537,42.3,-114.0,positive,stress
Alpha,-104.97562879924953,661.0,-970.0,negative,depression
Beta,13.605897983114446,206.0,-137.0,positive,anxiety
Gamma,24.150483114446526,213.0,-217.0,positive,stress
Alpha,-29.393862491700794,-29.3677832249572,-44.63820927205957,negative,insomnia
Gamma,-38.550696423262245,-18.812794915181115,-47.35991445445447,negative,anxiety
Beta,41.81791897371586,60.76742118983341,24.328694626891217,positive,neutral
Gamma,11.490631219034988,17.48367591069523,8.867671805849426,positive,insomnia
Alpha,22.581578552982933,24.93088933391888,11.133472564581961,positive,depression
Delta,1.5233708323656359,15.702212187204335,-6.453483441847558,positive,depression
Alpha,-19.965922176713356,-4.750894444481327,-24.835253045340494,negative,insomnia
Beta,25.221053105610835,32.591634766079586,24.82650194615335,positive,depression
Beta,43.46912870553858,60.62969921261126,28.20982336899531,positive,neutral
Alpha,46.78920759629071,50.142453102900525,32.057760387422825,positive,insomnia
Beta,22.809956429111523,31.18973361433367,3.591778387465336,positive,anxiety
Delta,21.329192936956147,30.344416850042478,19.625506913569176,positive,anxiety
Beta,-48.187805892970545,-36.075561118884444,-65.4545955375433,negative,anxiety
Delta,37.334632507648564,41.564370460649535,29.935838016868857,positive,insomnia
Delta,33.13070398175381,50.990366568156844,22.958363068366886,positive,neutral
Gamma,-36.248961820815765,-34.62567610087087,-38.318520169181774,negative,insomnia
Beta,-21.09843986688935,-5.212353244989158,-35.308631479514176,negative,insomnia
Gamma,10.535456070436524,13.832101421745005,-1.9647029288250408,positive,neutral
Gamma,-46.282695509531926,-37.06434803391051,-58.237853485129065,negative,neutral
Theta,7.357730855307821,18.64652833859556,4.411095354474977,positive,stress
Theta,11.355233021214552,19.651375623184073,2.0698290938154162,positive,stress
Delta,46.85991278701468,63.3977325734215,42.26037897372913,positive,depression
Beta,-1.6782671545590304,9.064863521543767,-12.531875878306451,negative,neutral
Delta,-2.418836483916074,-0.8301363306555558,-16.71524768094919,negative,depression
Delta,-27.529859566625202,-7.5991045404866036,-30.773881583565004,negative,depression
Beta,-20.274720912181323,-19.159902643475903,-31.86978219705864,negative,anxiety
Beta,-46.21313462444338,-34.94515902908821,-47.470582335064584,negative,insomnia
Gamma,34.33438960519652,47.347538213803716,27.347851674531594,positive,insomnia
Beta,-23.042382930275163,-9.507436701600458,-30.503505300180713,negative,stress
Gamma,-13.534849964910414,-10.578143141209269,-18.967344336026333,negative,insomnia
Gamma,43.539630445900286,45.31000216640009,38.10673615227954,positive,neutral
Delta,-9.258768993606544,5.540481493271956,-23.64550225809133,negative,anxiety
Alpha,19.653504114836807,39.37093876619869,6.711824555201918,positive,neutral
Gamma,10.07170566478166,19.62917171685396,3.8129157142317034,positive,insomnia
Delta,-19.864729342041997,-9.225670006781161,-31.114010796811886,negative,anxiety
Beta,23.31350728113118,29.344057723745443,17.347208164075504,positive,stress
Gamma,43.968761964401665,59.126745618231176,33.20110839815909,positive,anxiety
Delta,4.3914267768420245,7.5408837021236375,-15.592076941559196,positive,anxiety
Gamma,-34.697072732282685,-29.535980976995923,-34.71259751260377,negative,stress
Alpha,-33.289149373527984,-24.547820649451147,-46.858590351690125,negative,depression
Theta,16.547120874930727,21.13488439498336,9.895631042367027,positive,insomnia
Alpha,-27.241039464054083,-13.61907121307388,-38.487833298760506,negative,neutral
Gamma,-12.457770217939292,-3.610788448212313,-12.878243676190348,negative,stress
Theta,-21.78884598645281,-7.816879349515764,-40.97692469619405,negative,stress
Gamma,-39.17354406422735,-31.68383060790302,-42.72254537658602,negative,depression
Gamma,20.166174116578333,38.34100095363468,6.804358934256399,positive,neutral
Alpha,19.548942202622868,38.71091399550741,0.5524059134913841,positive,neutral
Delta,-6.927023392824779,5.054711192544076,-14.296733472212466,negative,anxiety
Gamma,33.978855595208685,37.79387343098446,19.511256636792847,positive,stress
Beta,11.52912370998093,27.94328446428326,9.316565584367225,positive,depression
Theta,-31.877707592100656,-16.285034913078352,-44.8803795251713,negative,depression
Alpha,35.23488702299183,46.082527249734724,16.321979267314596,positive,depression
Alpha,-23.500973179110375,-9.18646905295256,-33.85289995848032,negative,anxiety
Beta,-20.76638227724452,-19.31899402426881,-26.960568736644447,negative,insomnia
Beta,15.390214382461437,19.09134009083082,-3.2250831801879016,positive,neutral
Gamma,41.09759677525405,48.80149667257036,30.426593219499054,positive,anxiety
Delta,-31.62553382284752,-26.28398627239926,-32.57372057421313,negative,insomnia
Alpha,-30.987256137852313,-16.912793941661107,-35.626832921882304,negative,neutral
Gamma,40.99339157410114,60.49952213221808,23.128389922843347,positive,neutral
Gamma,-6.735358295472913,8.375677868197652,-13.097136039788627,negative,neutral
Theta,-38.969613545613434,-27.37380007381602,-46.809449703296266,negative,neutral
Delta,-1.3209126081179718,18.62942509505012,-16.77736094391407,negative,depression
Beta,-2.4008886721282963,9.455624733483681,-15.610695951920771,negative,insomnia
Gamma,-47.2721058393709,-40.93308083369531,-53.55351369677482,negative,neutral
Delta,-49.3255666422147,-41.661296660365714,-53.767766449440984,negative,neutral
Delta,48.096656032276215,51.05386790742752,31.156452901411935,positive,neutral
Delta,27.29875388371454,30.917542080150984,15.734070329250073,positive,stress
Gamma,-2.5818826125967433,9.3023049457608,-7.882799426087813,negative,neutral
Alpha,-48.80609717599319,-36.31630075784962,-61.644688902094046,negative,anxiety
Delta,25.085873067469777,42.73114833004194,22.861449959901822,positive,depression
Gamma,25.826064438719328,37.033334089752174,22.791069979984837,positive,depression
Delta,-15.837059624310633,-10.52042039954156,-17.857598879127803,negative,depression
Alpha,-17.186963632974717,-7.969194242338734,-25.183368548118302,negative,anxiety
Delta,29.68981310670202,48.759781231227045,19.66930207110814,positive,anxiety
Beta,-46.45802962079936,-37.759587406019946,-56.2411833065256,negative,anxiety
Gamma,46.093198930996635,65.24259099960963,27.481504722846594,positive,insomnia
Alpha,1.5508086936833365,20.92152149730068,-17.03243451428409,positive,neutral
Gamma,-13.754044115965705,-6.046382655051293,-19.592284241547773,negative,anxiety
Delta,-25.844193188191188,-14.142153088864934,-41.09747328754608,negative,stress
Theta,16.80512873310022,30.583043813865803,11.753897424705729,positive,depression
Delta,-18.735421115901175,-12.560810662556637,-24.386775100441703,negative,stress
Delta,48.45079822298547,51.31640859730222,44.73640298031792,positive,neutral
Beta,-33.76487014142563,-19.09697822416804,-36.17540073929295,negative,neutral
Beta,-9.611545081340736,1.723005053575104,-27.15848808125065,negative,anxiety
Theta,-27.94219922778447,-11.554949703875081,-41.4512647088017,negative,neutral
Theta,13.804177283968244,33.12339530231849,5.431978357649719,positive,insomnia
Theta,-46.00683114246641,-30.85449490829601,-58.3298638873596,negative,neutral
Theta,-26.217467182227594,-13.146779895114653,-32.45604206828379,negative,neutral
Gamma,-4.6200878647058445,-2.7810102666090946,-16.27887879889203,negative,anxiety
Theta,-17.53534631968803,-10.7349623607757,-36.62200048689928,negative,stress
Gamma,-47.8966637528372,-28.95934634169346,-60.029620333381274,negative,insomnia
Theta,34.05551704120714,36.470916215759885,25.02959044687346,positive,anxiety
Theta,-16.70184720687454,-15.102423788653768,-19.120271045842642,negative,neutral
Alpha,-48.716004587183626,-48.446766330892416,-51.477325625120116,negative,insomnia
Theta,31.503142309593017,35.90241747553151,19.384294875315483,positive,stress
Gamma,-0.24857516169497273,18.917840171755845,-10.31987242095604,negative,stress
Delta,24.928609924204153,39.878515305831314,15.49107129784484,positive,stress
Alpha,-12.923046635961143,2.013808103331753,-30.97222020825669,negative,neutral
Theta,22.036083066542773,23.780436569979514,13.641416847816,positive,neutral
Alpha,-19.27161697923172,-7.759143943384949,-24.807153217451024,negative,neutral
Delta,-40.23987244590689,-29.880840849187344,-56.34099575356542,negative,insomnia
Beta,-47.4136190827455,-46.82137096038814,-64.6057656839429,negative,depression
Beta,-2.238780996464385,9.828139871627945,-20.281028221936115,negative,insomnia
Delta,33.96774226868648,38.15396308585209,19.512080267873902,positive,neutral
Beta,-13.699677527959977,1.8468159129118682,-18.0672420398771,negative,stress
Beta,44.40599887974288,60.38343939788878,34.826510408458034,positive,anxiety
Theta,49.56247945306623,68.85440020625887,39.58626656132684,positive,insomnia
Beta,-7.303206698375554,-6.4641221806265,-8.316495250798845,negative,depression
Delta,-4.358895280178267,-0.5923154668915123,-23.914087217360745,negative,stress
Alpha,31.296060141501428,49.308800897951606,12.089630864650655,positive,anxiety
Gamma,-49.020779010683015,-42.51565373618189,-53.68917685737566,negative,anxiety
Theta,12.546259119263922,30.811303971029673,7.4192866678827025,positive,stress
