wave_type,mean,max,min,sign,disorder,danger_level,recommended_measure
Delta,15.256914493433396,304.0,-61.3,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,27.012461538461537,42.3,-114.0,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-104.97562879924953,661.0,-970.0,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,13.605897983114446,206.0,-137.0,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,24.150483114446526,213.0,-217.0,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-25.369926955838316,-9.114166659248799,-25.406951327521252,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-30.211467446848793,-15.547297387780517,-45.591454103224876,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-46.05926422386166,-42.07835375684624,-47.58490542145938,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-22.746022200633863,-19.73590146560734,-33.57953792811699,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-0.6304391072697868,12.829821518715283,-6.9396500577730835,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,0.4295990357567874,4.01301494408839,-12.704996106467075,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-15.629425423592991,-9.437309252410385,-19.81507895350034,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,12.928051794031973,23.524234029467507,5.936779063203293,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,48.47813680440434,58.3304156275145,30.0739181178854,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-21.385094745854893,-7.623382159932142,-26.33190294954606,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-14.261685058898664,-0.9546240385599098,-22.1395366798001,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-13.440690882934447,-8.338747228100004,-19.150541901474867,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,46.10424744926229,60.48112958910032,37.06652480080738,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,0.9308894121964215,9.528321193784775,-17.35046995616325,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,12.856278677984811,26.65691083824086,-3.216711891708833,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-23.5127656111227,-5.532218723602636,-43.403166995959225,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-39.30664986607542,-28.300511395150586,-55.65240679250962,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,30.008439130057937,30.57902380674805,11.594626264196382,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,13.391682751507602,28.783825495000386,7.54261656203142,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-46.30659992517471,-32.67043278978809,-47.909564691476085,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
